,NAZWA,new,total,WOJ,POW,lat,long
0,Białystok,0.0,0.0,20,61.0,53.127505049999996,23.147050870161664
1,Bielsko-Biała,0.0,0.0,24,61.0,49.81207845,19.029198802013944
2,Bydgoszcz,0.0,0.0,4,61.0,53.1219648,18.0002529
3,Bytom,0.0,0.0,24,62.0,50.3657432,18.87153251609449
4,Chełm,0.0,0.0,6,62.0,51.13558825,23.493936945891463
5,Chorzów,0.0,0.0,24,63.0,50.288556299999996,18.97044253093511
6,Częstochowa,0.0,0.0,24,64.0,50.8089997,19.1244089281233
7,Dąbrowa Górnicza,0.0,0.0,24,65.0,50.36913425,19.289871101330505
8,Elbląg,0.0,0.0,28,61.0,54.1988997,19.44108568736702
9,Gdańsk,0.0,0.0,22,61.0,54.36143405,18.62821847557274
10,Gdynia,0.0,0.0,22,62.0,54.50383255,18.462806155884614
11,Gliwice,0.0,0.0,24,66.0,50.30113145,18.662347227971978
12,Gorzów Wielkopolski,0.0,0.0,8,61.0,52.73057555,15.210755319093852
13,Grudziądz,0.0,0.0,4,62.0,53.47251195,18.761893676880046
14,Jelenia Góra,0.0,0.0,2,61.0,50.9031028,15.7344306
15,Kalisz,0.0,0.0,30,61.0,51.74736505,18.079590087700034
16,Katowice,0.0,0.0,24,69.0,50.2137321,19.00588775660632
17,Kielce,0.0,0.0,26,61.0,50.85403585,20.609914352101452
18,Koszalin,0.0,0.0,32,61.0,54.20727105,16.217530768271565
19,Kraków,0.0,0.0,12,61.0,50.0469432,19.997153435836697
20,Krosno,0.0,0.0,18,61.0,49.68875655,21.753404714509344
21,Legnica,0.0,0.0,2,62.0,51.2081617,16.1603187
22,Leszno,0.0,0.0,30,63.0,51.8436068,16.58042182076424
23,Lublin,0.0,0.0,6,63.0,51.218194499999996,22.554677565192677
24,Mysłowice,0.0,0.0,24,70.0,50.2096333,19.13277507211892
25,Nowy Sącz,0.0,0.0,12,62.0,49.61030395,20.71595521113809
26,Olsztyn,0.0,0.0,28,62.0,53.7767239,20.477781292210345
27,Opole,0.0,0.0,16,61.0,50.678792900000005,17.929884436033525
28,Piekary Śląskie,0.0,0.0,24,71.0,50.3757787,18.937873187224838
29,Piotrków Trybunalski,0.0,0.0,10,62.0,51.412841400000005,19.688801329018943
30,Poznań,0.0,0.0,30,64.0,52.40063215,16.91978694287606
31,Przemyśl,0.0,0.0,18,62.0,49.78355525,22.78851130307014
32,Płock,0.0,0.0,14,62.0,52.535347099999996,19.713630180599928
33,Radom,0.0,0.0,14,63.0,51.417157599999996,21.160945939663797
34,Ruda Śląska,0.0,0.0,24,72.0,50.270303,18.864375646334572
35,Rybnik,0.0,0.0,24,73.0,50.1105691,18.553187366087336
36,Rzeszów,0.0,0.0,18,63.0,50.00715125,22.009911525182105
37,Siedlce,0.0,0.0,14,64.0,52.161593800000006,22.281253302988254
38,Siemianowice Śląskie,0.0,0.0,24,74.0,50.31285075,19.017785857354603
39,Skierniewice,0.0,0.0,10,63.0,51.95805445,20.144870111023707
40,Sosnowiec,0.0,0.0,24,75.0,50.271229500000004,19.215561953947084
41,Szczecin,0.0,0.0,32,62.0,53.42968095,14.592912670292268
42,Tarnobrzeg,0.0,0.0,18,64.0,50.58372,21.711638132824728
43,Tarnów,0.0,0.0,12,63.0,50.025988299999995,20.96405842696229
44,Toruń,0.0,0.0,4,63.0,53.0102721,18.6048094
45,Tychy,0.0,0.0,24,77.0,50.126498049999995,19.006784585824853
46,Warszawa,0.0,0.0,14,65.0,52.2337172,21.07141112883227
47,Wałbrzych,0.0,0.0,2,65.0,50.785221,16.284640336127822
48,Wrocław,1.0,1.0,2,64.0,51.1263106,16.97819633051261
49,Włocławek,0.0,0.0,4,64.0,52.6655636,19.096129748054388
50,Zabrze,0.0,0.0,24,78.0,50.31428055,18.781576310579183
51,Zamość,0.0,0.0,6,64.0,50.721273,23.259588703837892
52,Zielona Góra,0.0,0.0,8,62.0,51.92766315,15.549005417916433
53,Łomża,0.0,0.0,20,62.0,53.18243065,22.052183817808846
54,Łódź,0.0,0.0,10,61.0,51.7687323,19.4569911
