new,total,WOJ,POW,NAZWA,lat,long
0.0,6.0,4,61.0,Bydgoszcz,53.1219648,18.0002529
0.0,1.0,24,62.0,Bytom,50.3657432,18.87153251609449
1.0,4.0,24,63.0,Chorzów,50.288556299999996,18.97044253093511
1.0,2.0,24,64.0,Częstochowa,50.8089997,19.1244089281233
3.0,5.0,28,61.0,Elbląg,54.1988997,19.44108568736702
1.0,9.0,22,61.0,Gdańsk,54.36143405,18.62821847557274
0.0,1.0,8,61.0,Gorzów Wielkopolski,52.73057555,15.210755319093852
0.0,1.0,30,61.0,Kalisz,51.74736505,18.079590087700034
0.0,1.0,26,61.0,Kielce,50.85403585,20.609914352101452
1.0,6.0,12,61.0,Kraków,50.0469432,19.997153435836697
0.0,2.0,2,62.0,Legnica,51.2081617,16.1603187
0.0,20.0,6,63.0,Lublin,51.218194499999996,22.554677565192677
0.0,2.0,28,62.0,Olsztyn,53.7767239,20.477781292210345
1.0,3.0,16,61.0,Opole,50.678792900000005,17.929884436033525
0.0,13.0,30,64.0,Poznań,52.40063215,16.91978694287606
1.0,1.0,24,72.0,Ruda Śląska,50.270303,18.864375646334572
1.0,1.0,24,73.0,Rybnik,50.1105691,18.553187366087336
0.0,3.0,18,63.0,Rzeszów,50.00715125,22.009911525182105
0.0,1.0,24,75.0,Sosnowiec,50.271229500000004,19.215561953947084
0.0,6.0,32,62.0,Szczecin,53.42968095,14.592912670292268
0.0,3.0,24,77.0,Tychy,50.126498049999995,19.006784585824853
19.0,50.0,14,65.0,Warszawa,52.2337172,21.07141112883227
0.0,2.0,2,65.0,Wałbrzych,50.785221,16.284640336127822
1.0,33.0,2,64.0,Wrocław,51.1263106,16.97819633051261
0.0,1.0,10,1.0,powiat bełchatowski,51.3686224,19.276131823300723
0.0,1.0,6,2.0,powiat biłgorajski,50.58573675,22.74886844985388
1.0,3.0,2,1.0,powiat bolesławiecki,51.32167095,15.521029999912347
0.0,2.0,28,2.0,powiat braniewski,54.277761999999996,19.955522341865752
0.0,4.0,24,3.0,powiat cieszyński,49.7261277,18.810229967000996
1.0,1.0,14,5.0,powiat grodziski,52.06340865,20.600240305298207
1.0,1.0,30,5.0,powiat grodziski,52.06340865,20.600240305298207
7.0,7.0,14,6.0,powiat grójecki,51.7583157,20.870287000122275
0.0,1.0,16,2.0,powiat głubczycki,50.148630350000005,17.832521806568543
0.0,1.0,16,5.0,powiat krapkowicki,50.45362035,17.95509665163815
0.0,1.0,16,3.0,powiat kędzierzyńsko-kozielski,50.29412965,18.16097077775825
0.0,3.0,18,8.0,powiat leżajski,50.2613726,22.41397851222215
0.0,1.0,6,9.0,powiat lubelski,51.134151700000004,22.438471588763633
2.0,3.0,18,11.0,powiat mielecki,50.31408045,21.397504902440524
0.0,1.0,4,10.0,powiat nakielski,53.09484255,17.597400406628683
0.0,1.0,18,12.0,powiat niżański,50.4641343,22.268839251798532
1.0,1.0,28,13.0,powiat olecki,54.05127005,22.40859883017808
0.0,2.0,2,14.0,powiat oleśnicki,51.2547988,17.50045451245783
0.0,1.0,10,8.0,powiat pabianicki,51.675757899999994,19.3211193137664
0.0,1.0,10,11.0,powiat poddębicki,51.898392099999995,18.963900374241888
0.0,3.0,14,21.0,powiat pruszkowski,52.1010833,20.840943502965125
1.0,6.0,24,11.0,powiat raciborski,50.08696745,18.20007980353008
1.0,1.0,18,18.0,powiat stalowowolski,50.5910262,22.091776064512587
1.0,2.0,26,11.0,powiat starachowicki,51.0538357,21.145951135413213
0.0,2.0,32,14.0,powiat stargardzki,53.3152879,15.1651032897048
0.0,4.0,16,11.0,powiat strzelecki,50.5294977,18.269227416432535
0.0,1.0,28,17.0,powiat szczycieński,53.541742049999996,21.018362051755837
0.0,2.0,8,5.0,powiat słubicki,52.32319505,14.73873196282951
0.0,4.0,6,18.0,powiat tomaszowski,50.47822645,23.579682194411255
0.0,4.0,10,16.0,powiat tomaszowski,50.47822645,23.579682194411255
0.0,5.0,24,16.0,powiat zawierciański,50.5442701,19.619601717431657
0.0,4.0,10,20.0,powiat zgierski,51.9038913,19.43926200949343
0.0,4.0,18,10.0,powiat łańcucki,50.08654905,22.27464232463597
1.0,1.0,8,8.0,powiat świebodziński,52.237810249999995,15.506973618070116
0.0,1.0,4,19.0,powiat żniński,52.82236815,17.690682211567513
0.0,32.0,10,61.0,Łódź,51.7687323,19.4569911
