index,new,total,WOJ,POW,NAZWA,lat,long
0,1.0,2.0,20,61.0,Białystok,53.127505049999996,23.147050870161664
1,1.0,1.0,24,61.0,Bielsko-Biała,49.81207845,19.029198802013944
2,3.0,13.0,4,61.0,Bydgoszcz,53.1219648,18.0002529
3,2.0,4.0,24,62.0,Bytom,50.3657432,18.87153251609449
4,0.0,1.0,6,62.0,Chełm,51.13558825,23.493936945891463
5,1.0,10.0,24,63.0,Chorzów,50.288556299999996,18.97044253093511
6,0.0,5.0,24,64.0,Częstochowa,50.8089997,19.1244089281233
7,1.0,2.0,24,65.0,Dąbrowa Górnicza,50.36913425,19.289871101330505
8,0.0,8.0,28,61.0,Elbląg,54.1988997,19.44108568736702
9,0.0,10.0,22,61.0,Gdańsk,54.36143405,18.62821847557274
10,1.0,1.0,22,62.0,Gdynia,54.50383255,18.462806155884614
12,0.0,1.0,8,61.0,Gorzów Wielkopolski,52.73057555,15.210755319093852
13,1.0,1.0,4,62.0,Grudziądz,53.47251195,18.761893676880046
15,1.0,2.0,30,61.0,Kalisz,51.74736505,18.079590087700034
16,1.0,3.0,24,69.0,Katowice,50.2137321,19.00588775660632
17,1.0,4.0,26,61.0,Kielce,50.85403585,20.609914352101452
19,2.0,16.0,12,61.0,Kraków,50.0469432,19.997153435836697
20,0.0,1.0,18,61.0,Krosno,49.68875655,21.753404714509344
21,0.0,2.0,2,62.0,Legnica,51.2081617,16.1603187
23,0.0,21.0,6,63.0,Lublin,51.218194499999996,22.554677565192677
24,0.0,1.0,24,70.0,Mysłowice,50.2096333,19.13277507211892
26,2.0,5.0,28,62.0,Olsztyn,53.7767239,20.477781292210345
27,0.0,3.0,16,61.0,Opole,50.678792900000005,17.929884436033525
29,3.0,3.0,10,62.0,Piotrków Trybunalski,51.412841400000005,19.688801329018943
30,5.0,23.0,30,64.0,Poznań,52.40063215,16.91978694287606
33,0.0,1.0,14,63.0,Radom,51.417157599999996,21.160945939663797
34,0.0,1.0,24,72.0,Ruda Śląska,50.270303,18.864375646334572
35,1.0,2.0,24,73.0,Rybnik,50.1105691,18.553187366087336
36,0.0,3.0,18,63.0,Rzeszów,50.00715125,22.009911525182105
40,0.0,1.0,24,75.0,Sosnowiec,50.271229500000004,19.215561953947084
42,1.0,7.0,32,62.0,Szczecin,53.42968095,14.592912670292268
43,0.0,1.0,18,64.0,Tarnobrzeg,50.58372,21.711638132824728
45,0.0,1.0,4,63.0,Toruń,53.0102721,18.6048094
46,1.0,5.0,24,77.0,Tychy,50.126498049999995,19.006784585824853
47,12.0,66.0,14,65.0,Warszawa,52.2337172,21.07141112883227
48,0.0,2.0,2,65.0,Wałbrzych,50.785221,16.284640336127822
49,7.0,53.0,2,64.0,Wrocław,51.1263106,16.97819633051261
50,0.0,1.0,4,64.0,Włocławek,52.6655636,19.096129748054388
51,1.0,1.0,24,78.0,Zabrze,50.31428055,18.781576310579183
52,1.0,1.0,6,64.0,Zamość,50.721273,23.259588703837892
53,0.0,3.0,8,62.0,Zielona Góra,51.92766315,15.549005417916433
55,2.0,3.0,10,1.0,powiat bełchatowski,51.3686224,19.276131823300723
57,0.0,1.0,32,1.0,powiat białogardzki,53.976545900000005,16.054541633349306
61,1.0,2.0,6,2.0,powiat biłgorajski,50.58573675,22.74886844985388
63,0.0,4.0,2,1.0,powiat bolesławiecki,51.32167095,15.521029999912347
64,0.0,2.0,28,2.0,powiat braniewski,54.277761999999996,19.955522341865752
70,0.0,3.0,6,3.0,powiat chełmski,51.1218841,23.255660107673716
74,1.0,5.0,24,3.0,powiat cieszyński,49.7261277,18.810229967000996
75,2.0,2.0,30,2.0,powiat czarnkowsko-trzcianecki,52.92876845,16.372969704522475
78,0.0,1.0,18,3.0,powiat dębicki,49.9993844,21.311198548609383
79,0.0,1.0,28,4.0,powiat elbląski,54.1592651,19.638304593203088
81,1.0,1.0,28,6.0,powiat giżycki,54.01819955,21.85342119561347
87,0.0,4.0,14,5.0,powiat grodziski,52.06340865,20.600240305298207
88,0.0,4.0,30,5.0,powiat grodziski,52.06340865,20.600240305298207
91,8.0,27.0,14,6.0,powiat grójecki,51.7583157,20.870287000122275
92,0.0,1.0,2,4.0,powiat górowski,51.6367477,16.556269422513985
94,0.0,1.0,16,2.0,powiat głubczycki,50.148630350000005,17.832521806568543
101,1.0,1.0,22,5.0,powiat kartuski,54.326832249999995,18.108863258211223
102,0.0,1.0,14,7.0,powiat kozienicki,51.6397453,21.40153169429992
104,1.0,1.0,30,11.0,powiat kościański,52.06606645,16.66913878248318
105,0.0,1.0,16,5.0,powiat krapkowicki,50.45362035,17.95509665163815
107,3.0,3.0,30,12.0,powiat krotoszyński,51.74117665,17.431656750422935
110,0.0,2.0,16,3.0,powiat kędzierzyńsko-kozielski,50.29412965,18.16097077775825
117,1.0,4.0,18,8.0,powiat leżajski,50.2613726,22.41397851222215
120,0.0,1.0,18,9.0,powiat lubaczowski,50.19563805,23.145409690234906
121,0.0,1.0,2,10.0,powiat lubański,51.0450548,15.27590168150317
122,0.0,1.0,6,9.0,powiat lubelski,51.134151700000004,22.438471588763633
125,4.0,7.0,18,11.0,powiat mielecki,50.31408045,21.397504902440524
127,0.0,1.0,14,12.0,powiat miński,52.18406335,21.65434349742045
132,0.0,1.0,4,10.0,powiat nakielski,53.09484255,17.597400406628683
133,1.0,2.0,18,12.0,powiat niżański,50.4641343,22.268839251798532
141,0.0,2.0,28,13.0,powiat olecki,54.05127005,22.40859883017808
143,0.0,2.0,2,14.0,powiat oleśnicki,51.2547988,17.50045451245783
145,0.0,3.0,10,7.0,powiat opoczyński,51.3923832,20.150494523127865
149,0.0,1.0,14,15.0,powiat ostrołęcki,53.140012,21.452380529038315
153,0.0,1.0,10,8.0,powiat pabianicki,51.675757899999994,19.3211193137664
154,5.0,5.0,10,10.0,powiat piotrkowski,51.3783344,19.57712108963346
158,0.0,1.0,10,11.0,powiat poddębicki,51.898392099999995,18.963900374241888
163,0.0,3.0,14,21.0,powiat pruszkowski,52.1010833,20.840943502965125
165,0.0,2.0,14,23.0,powiat przysuski,51.42374065,20.630001909255945
169,0.0,8.0,24,11.0,powiat raciborski,50.08696745,18.20007980353008
170,0.0,1.0,10,12.0,powiat radomszczański,51.064836549999995,19.631152903045617
172,0.0,2.0,10,13.0,powiat rawski,51.7621565,20.37659114942804
178,0.0,1.0,10,15.0,powiat skierniewicki,51.94468755,20.009552327706285
179,0.0,1.0,18,18.0,powiat stalowowolski,50.5910262,22.091776064512587
180,0.0,2.0,26,11.0,powiat starachowicki,51.0538357,21.145951135413213
181,0.0,2.0,32,14.0,powiat stargardzki,53.3152879,15.1651032897048
183,0.0,4.0,16,11.0,powiat strzelecki,50.5294977,18.269227416432535
187,0.0,2.0,8,7.0,powiat sulęciński,52.427397549999995,15.180315644554113
188,0.0,1.0,28,17.0,powiat szczycieński,53.541742049999996,21.018362051755837
190,0.0,2.0,8,5.0,powiat słubicki,52.32319505,14.73873196282951
192,2.0,2.0,22,14.0,powiat tczewski,53.918865049999994,18.747123157425225
193,0.0,4.0,6,18.0,powiat tomaszowski,50.47822645,23.579682194411255
194,0.0,4.0,10,16.0,powiat tomaszowski,50.47822645,23.579682194411255
207,0.0,5.0,24,16.0,powiat zawierciański,50.5442701,19.619601717431657
208,6.0,10.0,10,20.0,powiat zgierski,51.9038913,19.43926200949343
210,0.0,5.0,18,10.0,powiat łańcucki,50.08654905,22.27464232463597
213,1.0,1.0,30,26.0,powiat śremski,52.062481,17.100997794733544
214,1.0,3.0,2,19.0,powiat świdnicki,50.87042935,16.47761744813762
215,1.0,3.0,6,17.0,powiat świdnicki,50.87042935,16.47761744813762
217,0.0,2.0,8,8.0,powiat świebodziński,52.237810249999995,15.506973618070116
220,0.0,1.0,4,19.0,powiat żniński,52.82236815,17.690682211567513
222,1.0,1.0,20,62.0,Łomża,53.18243065,22.052183817808846
223,12.0,51.0,10,61.0,Łódź,51.7687323,19.4569911
