,Province,new,total,WOJ,lat,long
0,DOLNOŚLĄSKIE,15.0,170.0,2,51.1078852,17.0385376
1,KUJAWSKO-POMORSKIE,4.0,31.0,4,53.01375,18.59814
2,LUBELSKIE,14.0,76.0,6,51.246452,22.568445
3,LUBUSKIE,7.0,31.0,8,51.935619,15.506186
4,MAZOWIECKIE,42.0,294.0,14,52.232222,21.008333
5,MAŁOPOLSKIE,13.0,69.0,12,50.061389,19.938333
6,OPOLSKIE,3.0,27.0,16,50.664722,17.926944
7,PODKARPACKIE,10.0,54.0,18,50.033611,22.004722
8,PODLASKIE,3.0,13.0,20,53.135278,23.145556
9,POMORSKIE,6.0,28.0,22,54.366667,18.633333
10,WARMIŃSKO-MAZURSKIE,7.0,40.0,28,53.773056,20.476111
11,WIELKOPOLSKIE,12.0,72.0,30,52.408333,16.934167
12,ZACHODNIOPOMORSKIE,3.0,34.0,32,53.438056,14.542222
13,ŁÓDZKIE,19.0,166.0,10,51.776667,19.454722
14,ŚLĄSKIE,21.0,132.0,24,50.264167,19.023611
15,ŚWIĘTOKRZYSKIE,1.0,15.0,26,50.874167,20.633333
