Timestamp,Province,new,total
2020-03-21,DOLNOŚLĄSKIE,8.0,68.0
2020-03-21,KUJAWSKO-POMORSKIE,4.0,18.0
2020-03-21,LUBELSKIE,3.0,32.0
2020-03-21,LUBUSKIE,0.0,10.0
2020-03-21,MAZOWIECKIE,20.0,127.0
2020-03-21,MAŁOPOLSKIE,2.0,16.0
2020-03-21,OPOLSKIE,0.0,11.0
2020-03-21,PODKARPACKIE,6.0,26.0
2020-03-21,PODLASKIE,2.0,5.0
2020-03-21,POMORSKIE,4.0,14.0
2020-03-21,WARMIŃSKO-MAZURSKIE,3.0,20.0
2020-03-21,WIELKOPOLSKIE,13.0,32.0
2020-03-21,ZACHODNIOPOMORSKIE,1.0,10.0
2020-03-21,ŁÓDZKIE,34.0,91.0
2020-03-21,ŚLĄSKIE,10.0,55.0
2020-03-21,ŚWIĘTOKRZYSKIE,1.0,6.0
