,WOJ,POW,NAZWA,lat,long
1,2,1.0,powiat bolesławiecki,51.32167095,15.521029999912347
10,2,2.0,powiat dzierżoniowski,50.73498745,16.705529254552864
22,2,3.0,powiat głogowski,51.671272450000004,16.089272919269234
29,2,4.0,powiat górowski,51.6367477,16.556269422513985
38,2,5.0,powiat jaworski,51.0010336,16.09197288142367
47,2,6.0,powiat jeleniogórski,50.874484949999996,15.5556218889728
57,2,7.0,powiat kamiennogórski,50.75593485,15.985701360104887
64,2,8.0,powiat kłodzki,50.388655299999996,16.588626186223717
91,2,9.0,powiat legnicki,51.2412925,16.343694712626366
102,2,10.0,powiat lubański,51.0450548,15.27590168150317
114,2,11.0,powiat lubiński,51.441520499999996,16.257540127826694
121,2,12.0,powiat lwówecki,51.0155289,15.559027133100908
137,2,13.0,powiat milicki,51.508088099999995,17.296877499268668
143,2,14.0,powiat oleśnicki,51.2547988,17.50045451245783
160,2,15.0,powiat oławski,50.96050325,17.285227704277645
167,2,16.0,powiat polkowicki,51.49969110000001,15.993914985109734
180,2,17.0,powiat strzeliński,50.766799,17.076615564313258
190,2,18.0,powiat średzki,51.1261995,16.62997938420635
198,2,19.0,powiat świdnicki,50.87042935,16.47761744813762
213,2,20.0,powiat trzebnicki,51.3719056,17.049823054803895
228,2,21.0,powiat wałbrzyski,50.757312549999995,16.168392805619565
241,2,22.0,powiat wołowski,51.37211465,16.62711034434037
249,2,23.0,powiat wrocławski,51.043121049999996,16.873078486129153
265,2,24.0,powiat ząbkowicki,50.55676205,16.856437368633543
281,2,25.0,powiat zgorzelecki,51.1630251,15.076735672780083
295,2,26.0,powiat złotoryjski,51.091325100000006,15.878005385714285
304,2,61.0,Jelenia Góra,50.9031028,15.7344306
306,2,62.0,Legnica,51.2081617,16.1603187
308,2,64.0,Wrocław,51.1263106,16.97819633051261
315,2,65.0,Wałbrzych,50.785221,16.284640336127822
318,4,1.0,powiat aleksandrowski,52.785568100000006,18.77949914349874
328,4,2.0,powiat brodnicki,53.2696512,19.412903502393796
343,4,3.0,powiat bydgoski,53.19216065,17.82549614675936
